Serial No.,Acc. No.,Book Name,Author,Publication,Call No,ISBN,Price
1,283,.Net Frqamework With Asp.Net And C#,Mosin Hasan,Dhanpat Rai & Co.,004.6HAS-.N,,275
2,393,.Net Programming,Vikas Gupta And Kogent Solutions Inc.,Dream Tech Peblication,005.118 GUP-.N,81-7722-723-8,349
3,158,3Ds Max 9 Bible,Kelly L Murdock,WILEY INDIA PVT LTD,006.696 MUR-M,81-265-1159-1,599
4,590,400 Iq Puzziles,Philip Carter And Ken Russell,Viva Books Pvt,153 RUS -H,978-81-952-1,125
5,1081,80C51µC - Embeded C & ALP Programming,Abubeker K.M,Xpress Publishing,,978-1648921216,250/-
6,627,97  Things Every Programmer Should Know,Kelvin Henney,Shoroff pub & Distributors,,978-81-8404-951-0,300
7,625,97 Things Every Software Architect Should Know,Richard Monson,Shoroff pub & Distributors,,978-81-8404-689-2,300
8,65,A Book On C 4E,Al Kelley Ira Pohl,Pearson Education,005.133 KEL-T,81-7808-133-4,265
9,324,A Friendly Approach To Computer Programming,Prasannakumar,hari sri books,005.1  PRA-A,,
10,496,A Guide To Expert Systems,Donald A Waterman,Pearson Education,006.33 WAT-A,978-81-317-1331-0,450
11,201,A Modern Approach To Non-Verbal Reasoning,R S Aggarwal,S.CHAND &COMPANY LTD,153.43 AGG-M,81-219-0551-6,550
12,236,A Practical Approach To Parallel Computing,S K Ghoshal,UNIVESITIES PRESS,004.35 GHO-A,81-7371-132-1,175
13,44,A Text Book Of Applied Electronics,R.S.Sedha,S.Chand & Sons Publications,621.38 SED-A,81-219-0420- X,210
14,699,A Text Book Of Engineering Mechanics 2E,J .Benjamin,Pentex,620.103 Ben-A;2E,,195
15,1032,A Text Book Of Engineering Mechanics 2E,R S KHURMI,S.  CHAND & Company ltd.,620.103 KHU-A,,130
16,1048,A Text Book Of Sustainable Engineering,Suresh K,Chess Educational Publishers,628 SUR-T,978-8-19316-700-7,300
17,636,A Textbook  Of Applied Electronics,R.S Sedha,S.Chand & company LTD,621.38 SED-A,81-219-2783-8,550
18,297,A Textbook Applied Electronics,R.S.Sedha,S.Chand & Sons Publications,621.38 SED-A,81-219-0420-X,210
19,349,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38  SED-A,81-219-0420-X,180
20,325,A Textbook Applied Electronics,R.S Sedha,S.Chand And Company Ltmd,621.38  SED-A,81-219-2783-8,490
21,667,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
22,668,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
23,669,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
24,670,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
25,671,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
26,672,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
27,708,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
28,709,A Textbook Applied Electronics,R.S Sedha,S.Chand & Company Ltd,621.38 SED-A,81-219-2783-8,550
29,374,A Textbook Of Automata Theory,"Dr. P K Srimani, Nasir S F B",Foundation Books,004.015 SRI-A,978-81-7596-545-4,
30,358,A Textbook Of Discrete Mathematics,Swapan Kumar Sarkar,S Chand & Company Ltd.,511.1 SAR-A,81-219-2232-1,285
31,728,A Textbook Of Engineering Mathematics,N P Bali,Laxmi Pub,620.103 BAL-A,978-81-318-0219-9,60
32,1033,AD HOC MOBILE WIRELESS NETWORKS,C K TOH,PEARSON PUBLICATIONS,,978-93-325-5544-0,449
33,1034,AD HOC MOBILE WIRELESS NETWORKS,C K TOH,PEARSON PUBLICATIONS,,978-93-325-5544-0,449
34,822,Adobe Flash Professional Cs5 Bible,Todd Perkins,WILEY INDIA EDITION,005.52 PER-A,978-81-265-2779-3,599
35,48,Advance Java,Gajendra Gupta,Firewall media,005.133 GUP-A,81-7008-940-9,175
36,850,Advanced Educational Psychology 2E,S K Mangal,PHI,370.75 MAN-A;2E,978-81-203-2038-3,275
37,45,Advanced Microprocessors & Peripherals,A K Ray & K M Bhurchandi,Tata McGraw-Hill,004.16 RAY-A,0-07-4638-41-6,225
38,79,Advanced Microprocessors & Peripherals,A K Ray & K M Bhurchandi,Tata McGraw-Hill,004.16 RAY-A,0-07-4638-41-6,
39,806,Advanced Microprocessors And Interfacing,Badri Ram,Tata Mcgraw-Hill,004.16 RAM-A,978-0-07-043448-6,310
40,725,Advanced Microprocessors And Peripherals 2E,A K Ray,Mc Graw Hill,004.16 Ray-A;2E,13:978-0-07-060658-6,299
41,602,Advanced Software Testing Vol.2,Rex Black,Shoroff Pub & Distributors Pvt. Ltd,005-1 BLA - A,978 - 81- 8404-699-1,500
42,848,Ajax Black Book,Kogent Learning Solutions,Dream Tech Peblication,006.7 KOG-A,978-81-7722-838-0,549
43,456,"Ajax,Rich Internet Appllications, And Web Development For Programmers",Paul J.Deitel And Harvey M.Deitel,Pearson Education,006.7 DEI-A,978-81-317-2283-1,725
44,1075,Algorithems Design and Analysis,Udit Agarwal,Dhanpat Rai & Co.,,978-81-7700-075-7,300/-
45,457,"Algorithm Design Foundations,Analysis And Internet Examples",Michael T.Goodrich And Roberto Tamassia,Wiley India Pvt Ltd,005.120 28 GOO-A,978-81-265-0986-7,
46,321,Algorithms,Sanjoy Dasgupta,TATA McGRAW-HILL,005.1 DAS-A,978-0-07-063661-3,
47,917,ALGORITHMS DESIGN AND ANALYSIS,UDIT AGARWAL,Dhanpat Rai & Co.,005.120 28 AGA-A,978-81-7700-075-7,270
48,957,Algorithms Design and Analysis,Udit Agarwal,Dhanpat Rai & Co.,005.10 AGA-A,978-81-7700-075-7,285
49,267,Algorithms Design And Analysis,Udit Agarwal,DHANPAT RAI & CO,005.10 AGA-A,,200
50,858,Algorithms Design And Analysis,Udit Agarwal,Dhanpat Rai & Co.,005.120 28 AGA-A,,
51,1057,Algorithms to Live By,"Brian Christian, Tom Griffiths",Williams Collins,,978-0-00-754799-9,499/-
52,534,All About Motherboard,"Manahar Lotia, Pradeep Nair, Payal Lotia",BPB Publication,004.5 LOT - AL,81-8333-056-8,248
53,573,An Advanced  Course In Database Systems,"Suzanne W Dietrich,Susan D Urban",PHI,005.74 DIE-A,978-81-203-3364-2,325
54,344,An Indroduction To Digital Computer Design 4E,"V.Rajaraman,T Radhakrishnan",Prentice Hall Of India,621.395  RAJ-I,81-203-1004-7,150
55,370,An Integrated Approach To Software Engineering 2E,Pankaj Jalote,Narosa Publishing House Pvt Ltd,005.1  JAL-I,81-7319-271-5,275
56,29,An Integrated Approach To Software Engineering 3 E,Pankaj Jalote,Narosa Publishing House,005.1 JAL-IN;3E,978-81-7319-702-4,295
57,30,An Integrated Approach To Software Engineering 3 E,Pankaj Jalote,Narosa Publishing House,005.1 JAL-IN;3E,978-81-7319-702-4,295
58,163,An Integrated Approach To Software Engineering 3 E,Pankaj Jalote,NAROSA PUBLISHING HOUSE,005.1 JAL-IN;3E,978-81-7319-702-4,
